,artist,song,genres,year,key,mode,duration,bpm
6081,Steely Dan,Black Cow,Rock,1977,D,major,5:10,189BPM
6082,Mott the Hoople,Roll Away the Stone,Rock,1973,C♯/D♭,major,3:09,125BPM
6083,Sex Pistols,E.M.I.,Rock,1977,,,,
6084,The Police,The Bed's Too Big Without You,Rock,1979,,,,
6085,Foghat,Fool For the City,Rock,1975,C,major,4:32,140BPM
6086,Alternative TV,Love Lies Limp,Rock,1977,A,major,3:05,112BPM
6087,The Doors,Peace Frog,Rock,1970,G,major,2:50,113BPM
6088,Willie Nelson,Moonlight in Vermont,Pop,1978,D,minor,3:24,63BPM
6089,Queen,Seven Seas of Rhye,Rock,1974,D,major,2:48,126BPM
6090,John Fogerty,Almost Saturday Night,Rock,1975,C,major,3:18,131BPM
6091,Jo Jo Gunne,"Run, Run, Run",Rock,1972,D♯/E♭,major,2:35,136BPM
6092,Gary Glitter,I'm the Leader of the Gang,Rock,1973,,,,
6093,Judas Priest,Victim of Changes,Rock,1976,D,major,7:48,74BPM
6094,Gino Soccio,Dancer,Dance,1979,B,minor,8:25,123BPM
6095,Led Zeppelin,Four Sticks,Rock,1971,D,major,4:45,107BPM
6096,Giorgio Moroder,From Here to Eternity,Dance,1977,C♯/D♭,major,5:50,130BPM
6097,Thin Lizzy,Cowboy Song,Rock,1976,G♯/A♭,major,5:18,134BPM
6098,Neil Young with Crazy Horse,Will to Love,Rock,1977,,,,
6099,Led Zeppelin,Friends,Rock,1970,G,major,3:54,84BPM
6100,Françoise Hardy,La question,Pop,1971,F♯/G♭,minor,3:02,106BPM
6101,Neil Young,Don't Be Denied,Rock,1973,,,,
6102,Robin Trower,Bridge of Sighs,Rock,1974,G♯/A♭,minor,6:12,96BPM
6103,Richard and Linda Thompson,When I Get to the Border,Rock,1974,,,,
6104,First Choice,Let No Man Put Asunder,Dance,1977,B,major,8:01,121BPM
6105,The Allman Brothers Band,One Way Out,Rock,1972,A,major,4:58,107BPM
6106,Bruce Springsteen,Growin' Up,Rock,1973,C,major,3:05,132BPM
6107,Hotlegs,Neanderthal Man,Rock,1970,,,,
